Bench mbasis, FFT prime p = 882705526964617217, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
16	3	2	0.00004571	0.00003967	0.00004432	0.00003963
16	3	4	0.00007963	0.00007212	0.00007636	0.00007248
16	3	8	0.00016399	0.00016564	0.00015704	0.00016832
16	3	16	0.00037529	0.00043366	0.00035708	0.00044221
16	3	32	0.00101837	0.00133383	0.00095637	0.00136390
16	3	64	0.00318613	0.00452399	0.00291500	0.00462721
16	3	128	0.01078817	0.01658083	0.00993489	0.01695842
16	4	2	0.00004789	0.00004073	0.00004567	0.00004061
16	4	4	0.00008352	0.00007418	0.00007891	0.00007503
16	4	8	0.00017603	0.00017780	0.00016726	0.00018171
16	4	16	0.00043835	0.00049272	0.00039439	0.00049764
16	4	32	0.00122848	0.00155828	0.00109725	0.00162851
16	4	64	0.00402685	0.00544565	0.00349476	0.00553893
16	4	128	0.01381013	0.01989751	0.01216796	0.02062424
16	5	2	0.00004949	0.00004077	0.00004651	0.00004066
16	5	4	0.00009162	0.00008117	0.00008642	0.00008229
16	5	8	0.00019974	0.00019998	0.00018359	0.00019939
16	5	16	0.00050282	0.00054245	0.00044516	0.00056491
16	5	32	0.00146770	0.00174970	0.00130872	0.00182162
16	5	64	0.00480172	0.00613737	0.00405831	0.00644288
16	5	128	0.01709749	0.02297554	0.01404736	0.02418828
16	6	2	0.00005023	0.00004107	0.00004826	0.00004075
16	6	4	0.00010013	0.00008588	0.00009349	0.00008686
16	6	8	0.00022042	0.00020191	0.00019421	0.00021040
16	6	16	0.00056226	0.00057371	0.00047564	0.00059464
16	6	32	0.00166574	0.00186388	0.00137333	0.00192221
16	6	64	0.00555654	0.00652740	0.00441049	0.00694808
16	6	128	0.02007101	0.02446368	0.01565183	0.02625440
16	7	2	0.00005129	0.00004140	0.00004782	0.00004106
16	7	4	0.00010289	0.00008622	0.00009286	0.00009215
16	7	8	0.00023839	0.00021238	0.00020576	0.00022168
16	7	16	0.00062804	0.00060527	0.00051138	0.00063807
16	7	32	0.00190514	0.00195430	0.00147026	0.00208588
16	7	64	0.00644129	0.00686189	0.00477473	0.00747232
16	7	128	0.02339259	0.02574827	0.01692471	0.02803534
16	8	2	0.00005240	0.00004149	0.00004876	0.00004145
16	8	4	0.00010499	0.00008601	0.00009416	0.00008754
16	8	8	0.00024479	0.00021219	0.00020652	0.00021962
16	8	16	0.00066580	0.00060804	0.00052470	0.00064917
16	8	32	0.00208828	0.00199044	0.00152208	0.00212637
16	8	64	0.00717585	0.00701128	0.00496693	0.00772556
16	8	128	0.02641206	0.02649368	0.01776374	0.02914537
16	9	2	0.00005827	0.00004627	0.00005419	0.00004718
16	9	4	0.00011974	0.00009485	0.00010519	0.00009755
16	9	8	0.00027615	0.00022417	0.00022405	0.00023553
16	9	16	0.00075130	0.00062384	0.00056450	0.00067036
16	9	32	0.00235808	0.00202817	0.00165382	0.00224337
16	9	64	0.00819392	0.00709397	0.00533365	0.00789882
16	9	128	0.02997702	0.02645614	0.01869091	0.02969604
16	10	2	0.00005782	0.00004532	0.00005370	0.00004673
16	10	4	0.00012102	0.00009203	0.00010384	0.00009591
16	10	8	0.00029228	0.00022450	0.00022829	0.00023985
16	10	16	0.00080647	0.00062858	0.00057383	0.00067559
16	10	32	0.00256308	0.00198430	0.00167532	0.00223095
16	10	64	0.00891519	0.00694545	0.00548411	0.00788274
16	10	128	0.03304827	0.02581360	0.01912474	0.02997663
16	11	2	0.00005754	0.00004484	0.00005368	0.00004561
16	11	4	0.00012778	0.00009144	0.00010614	0.00009572
16	11	8	0.00031288	0.00022114	0.00023532	0.00024085
16	11	16	0.00087754	0.00060388	0.00058690	0.00066800
16	11	32	0.00279263	0.00191259	0.00170530	0.00220785
16	11	64	0.00981484	0.00665585	0.00553311	0.00774736
16	11	128	0.03639204	0.02465948	0.01931375	0.02905058
