Bench mbasis, random prime p = 610672428373912909, bit length = 60
rdim	cdim	order	app-rcmp	app-rupd	int-rcmp	int-rupd
16	3	2	0.00004639	0.00003990	0.00004468	0.00004013
16	3	4	0.00008114	0.00007324	0.00007760	0.00007349
16	3	8	0.00016679	0.00016728	0.00015801	0.00017005
16	3	16	0.00038107	0.00043644	0.00036107	0.00044732
16	3	32	0.00102501	0.00133824	0.00096000	0.00137185
16	3	64	0.00316303	0.00461154	0.00291218	0.00464070
16	3	128	0.01098987	0.01682629	0.00985967	0.01700205
16	4	2	0.00004818	0.00004078	0.00004609	0.00004093
16	4	4	0.00008495	0.00007572	0.00007994	0.00007578
16	4	8	0.00017931	0.00017965	0.00016784	0.00018176
16	4	16	0.00043495	0.00049861	0.00040651	0.00050896
16	4	32	0.00126168	0.00157808	0.00110900	0.00161818
16	4	64	0.00401334	0.00543989	0.00349032	0.00560516
16	4	128	0.01393902	0.02013699	0.01208002	0.02076049
16	5	2	0.00005031	0.00004155	0.00004745	0.00004155
16	5	4	0.00009616	0.00008370	0.00008798	0.00008360
16	5	8	0.00020146	0.00019524	0.00018321	0.00020149
16	5	16	0.00051705	0.00055653	0.00045773	0.00057395
16	5	32	0.00148806	0.00177835	0.00127557	0.00182994
16	5	64	0.00481301	0.00613455	0.00426147	0.00651940
16	5	128	0.01739278	0.02308121	0.01433965	0.02421460
16	6	2	0.00005109	0.00004183	0.00004817	0.00004279
16	6	4	0.00010320	0.00008764	0.00009359	0.00008782
16	6	8	0.00022039	0.00020414	0.00019460	0.00021063
16	6	16	0.00056830	0.00057751	0.00048245	0.00059974
16	6	32	0.00169657	0.00188362	0.00138598	0.00201175
16	6	64	0.00566476	0.00661810	0.00442927	0.00692398
16	6	128	0.02006006	0.02452003	0.01561938	0.02596657
16	7	2	0.00005214	0.00004200	0.00004871	0.00004176
16	7	4	0.00010371	0.00008704	0.00009383	0.00008869
16	7	8	0.00024227	0.00021758	0.00020848	0.00022417
16	7	16	0.00062979	0.00060599	0.00052017	0.00063834
16	7	32	0.00190397	0.00195928	0.00147407	0.00209303
16	7	64	0.00646713	0.00689381	0.00480734	0.00744283
16	7	128	0.02357002	0.02578521	0.01693152	0.02799399
16	8	2	0.00005345	0.00004174	0.00004936	0.00004209
16	8	4	0.00010687	0.00008699	0.00009538	0.00008861
16	8	8	0.00024926	0.00021435	0.00020820	0.00023200
16	8	16	0.00067211	0.00060925	0.00052769	0.00065243
16	8	32	0.00212414	0.00206055	0.00153293	0.00214921
16	8	64	0.00724127	0.00702993	0.00511501	0.00770069
16	8	128	0.02653825	0.02640693	0.01820219	0.02907176
16	9	2	0.00005929	0.00004672	0.00005487	0.00004750
16	9	4	0.00012153	0.00009519	0.00010649	0.00009871
16	9	8	0.00028159	0.00022812	0.00022790	0.00023894
16	9	16	0.00076376	0.00064270	0.00056910	0.00069476
16	9	32	0.00237211	0.00202627	0.00164191	0.00223486
16	9	64	0.00812449	0.00710509	0.00531664	0.00793575
16	9	128	0.03002068	0.02649815	0.01874489	0.02969149
16	10	2	0.00005824	0.00004605	0.00005401	0.00004650
16	10	4	0.00012251	0.00009264	0.00010474	0.00009573
16	10	8	0.00029485	0.00022318	0.00022980	0.00024000
16	10	16	0.00080944	0.00062472	0.00058104	0.00068373
16	10	32	0.00259521	0.00200595	0.00168292	0.00223933
16	10	64	0.00893075	0.00698738	0.00545611	0.00794977
16	10	128	0.03397969	0.02598922	0.01912573	0.02968682
16	11	2	0.00005854	0.00004558	0.00005404	0.00004619
16	11	4	0.00012924	0.00009274	0.00010759	0.00009779
16	11	8	0.00031367	0.00022298	0.00023941	0.00023989
16	11	16	0.00087601	0.00060657	0.00058984	0.00069644
16	11	32	0.00281122	0.00191900	0.00172294	0.00222973
16	11	64	0.00977503	0.00674463	0.00550580	0.00776229
16	11	128	0.03659254	0.02492092	0.01935599	0.02939479
16	12	2	0.00005883	0.00004429	0.00005347	0.00004544
16	12	4	0.00013006	0.00009035	0.00010689	0.00009562
16	12	8	0.00032327	0.00021182	0.00023597	0.00023610
16	12	16	0.00092556	0.00057075	0.00058870	0.00066018
16	12	32	0.00301034	0.00179437	0.00170564	0.00215587
16	12	64	0.01056545	0.00614103	0.00548163	0.00760900
16	12	128	0.04024002	0.02264126	0.01917576	0.02787953
16	13	2	0.00005764	0.00004350	0.00005223	0.00004428
16	13	4	0.00013291	0.00008882	0.00010712	0.00009470
16	13	8	0.00033841	0.00020389	0.00023734	0.00022700
16	13	16	0.00099479	0.00054055	0.00059318	0.00063208
16	13	32	0.00323538	0.00164575	0.00170148	0.00203298
16	13	64	0.01152938	0.00557348	0.00538526	0.00704793
16	13	128	0.04322908	0.02005705	0.01893258	0.02620228
16	14	2	0.00005727	0.00004288	0.00005124	0.00004316
16	14	4	0.00013221	0.00008482	0.00010476	0.00009066
16	14	8	0.00035445	0.00019184	0.00023627	0.00021535
16	14	16	0.00103587	0.00048594	0.00058350	0.00059039
16	14	32	0.00345584	0.00145051	0.00165945	0.00188017
16	14	64	0.01235210	0.00472122	0.00521747	0.00644567
16	14	128	0.04647055	0.01680679	0.01828244	0.02376408
16	15	2	0.00005602	0.00004102	0.00005024	0.00004189
16	15	4	0.00013294	0.00008099	0.00010195	0.00008589
16	15	8	0.00035566	0.00017412	0.00023052	0.00020368
16	15	16	0.00108604	0.00042037	0.00056886	0.00054057
16	15	32	0.00367481	0.00119435	0.00160672	0.00169470
16	15	64	0.01322119	0.00372681	0.00496214	0.00568709
16	15	128	0.04974530	0.01271511	0.01724130	0.02067792
32	1	2	0.00019618	0.00017688	0.00019717	0.00017625
32	1	4	0.00034092	0.00031958	0.00034088	0.00032039
32	1	8	0.00062940	0.00061441	0.00062922	0.00061781
32	1	16	0.00119058	0.00126951	0.00119054	0.00127534
32	1	32	0.00233384	0.00281429	0.00234344	0.00282521
32	1	64	0.00571173	0.00786943	0.00576028	0.00784347
32	1	128	0.01550852	0.02449697	0.01578311	0.02471067
32	3	2	0.00019982	0.00017865	0.00019913	0.00017679
32	3	4	0.00035670	0.00033461	0.00035266	0.00033741
32	3	8	0.00066545	0.00068112	0.00065072	0.00068562
32	3	16	0.00148295	0.00170183	0.00145271	0.00171422
32	3	32	0.00362098	0.00479831	0.00355089	0.00483821
32	3	64	0.01014994	0.01521595	0.00984901	0.01516995
32	3	128	0.03271955	0.05336306	0.03174932	0.05390152
32	5	2	0.00019273	0.00017481	0.00018898	0.00016993
32	5	4	0.00035287	0.00032589	0.00034049	0.00032610
32	5	8	0.00073129	0.00074894	0.00073820	0.00076392
32	5	16	0.00176158	0.00204768	0.00165948	0.00203210
32	5	32	0.00469404	0.00623048	0.00440013	0.00627937
32	5	64	0.01480236	0.02148160	0.01353210	0.02164971
32	5	128	0.05022921	0.07868002	0.04617073	0.07985315
32	7	2	0.00020061	0.00017131	0.00019243	0.00017114
32	7	4	0.00036937	0.00033404	0.00034968	0.00033482
32	7	8	0.00082249	0.00083421	0.00076086	0.00083459
32	7	16	0.00204748	0.00235074	0.00186097	0.00236777
32	7	32	0.00588115	0.00759219	0.00527228	0.00772404
32	7	64	0.01914850	0.02673234	0.01674239	0.02706957
32	7	128	0.06796423	0.10009290	0.05876727	0.10194582
32	9	2	0.00020494	0.00017141	0.00019530	0.00017136
32	9	4	0.00040613	0.00036388	0.00037862	0.00036828
32	9	8	0.00091077	0.00089829	0.00081619	0.00090447
32	9	16	0.00244047	0.00265979	0.00213084	0.00270443
32	9	32	0.00722399	0.00875906	0.00607707	0.00891773
32	9	64	0.02373984	0.03104971	0.01957902	0.03178456
32	9	128	0.08591152	0.11756080	0.06931938	0.11973104
32	11	2	0.00020774	0.00017034	0.00019468	0.00017085
32	11	4	0.00045003	0.00038868	0.00040767	0.00038833
32	11	8	0.00102867	0.00096912	0.00089137	0.00098150
32	11	16	0.00277103	0.00287439	0.00234497	0.00295275
32	11	32	0.00834420	0.00954574	0.00668514	0.00979622
32	11	64	0.02834781	0.03435714	0.02190399	0.03572322
32	11	128	0.10321935	0.13000603	0.07828915	0.13393880
32	13	2	0.00021230	0.00017055	0.00019746	0.00017127
32	13	4	0.00045873	0.00038363	0.00040894	0.00038936
32	13	8	0.00110789	0.00101455	0.00093033	0.00101899
32	13	16	0.00307884	0.00302126	0.00243584	0.00308582
32	13	32	0.00960162	0.01018968	0.00721537	0.01049256
32	13	64	0.03286042	0.03689666	0.02368576	0.03812354
32	13	128	0.12048114	0.13953987	0.08514469	0.14460739
32	15	2	0.00023868	0.00016872	0.00020862	0.00016885
32	15	4	0.00047457	0.00037846	0.00040627	0.00038206
32	15	8	0.00119923	0.00101690	0.00094125	0.00102555
32	15	16	0.00341955	0.00313603	0.00256864	0.00323214
32	15	32	0.01077467	0.01066131	0.00774291	0.01091540
32	15	64	0.03744698	0.03814305	0.02506582	0.03987060
32	15	128	0.13869524	0.14533521	0.09063802	0.15164619
32	17	2	0.00025758	0.00019388	0.00021916	0.00018626
32	17	4	0.00052696	0.00040980	0.00044628	0.00041341
32	17	8	0.00129969	0.00105129	0.00100965	0.00107832
32	17	16	0.00375004	0.00319984	0.00273563	0.00335135
32	17	32	0.01216960	0.01072293	0.00782945	0.01112178
32	17	64	0.04201216	0.03831902	0.02675874	0.04098325
32	17	128	0.15641607	0.14543469	0.09347976	0.15412313
32	19	2	0.00025683	0.00018199	0.00021514	0.00018260
32	19	4	0.00052923	0.00039469	0.00044434	0.00040499
32	19	8	0.00134693	0.00102126	0.00101238	0.00105105
32	19	16	0.00400682	0.00309547	0.00267493	0.00324473
32	19	32	0.01313929	0.01043734	0.00799741	0.01115056
32	19	64	0.04656370	0.03771359	0.02642709	0.04045717
32	19	128	0.17425582	0.14279138	0.09538646	0.15405330
32	21	2	0.00025371	0.00017647	0.00021208	0.00017927
32	21	4	0.00053378	0.00038683	0.00043297	0.00038824
32	21	8	0.00141007	0.00099543	0.00100749	0.00103786
32	21	16	0.00432261	0.00302638	0.00274570	0.00321598
32	21	32	0.01432070	0.01011035	0.00802856	0.01080930
32	21	64	0.05120268	0.03603564	0.02645033	0.03947912
32	21	128	0.19300248	0.13626034	0.09434415	0.14976218
32	23	2	0.00025157	0.00017100	0.00020694	0.00017235
32	23	4	0.00056960	0.00037101	0.00043919	0.00038109
32	23	8	0.00154494	0.00096737	0.00101507	0.00100788
