running ntx_linbox
first test with 20 1 0
Prime p = 665221  (bit length = 20)
Bench polynomial matrix multiplication
size	degree	ntlx	linbox	ratio(ntlx/linbox)
128	64	0.5331	1.3713	0.3887
128	128	1.7248	2.8481	0.6056
128	256	3.3795	5.5822	0.6054
128	512	7.2487	11.3947	0.6362
128	1024	15.3970	22.8793	0.6730
128	2048	31.1676	45.9817	0.6778
256	32	1.0911	2.8040	0.3891
256	64	2.8195	5.5016	0.5125
256	128	8.2564	11.2126	0.7364
256	256	22.5915	22.6061	0.9994
256	512	45.1305	50.4492	0.8946
512	32	6.2292	12.3378	0.5049
512	64	15.4213	24.5039	0.6293
512	128	41.1381	50.0824	0.8214
1024	32	38.3661	53.4713	0.7175
1024	64	88.2590	107.5056	0.8210


first test with 20 2 0
Prime p = 648217  (bit length = 20)
Bench pmbasis (divide and conquer minimal approximant basis)
rowdim	coldim	degree	ntlx	linbox	ntlxgen	ntl/lb	ntlxgen/ntlx
4	2	32	0.0002	0.0006	0.0002	0.2952	1.0027
4	2	64	0.0004	0.0013	0.0004	0.2778	1.1234
4	2	128	0.0008	0.0031	0.0009	0.2591	1.1156
4	2	256	0.0018	0.0072	0.0020	0.2515	1.1114
4	2	512	0.0040	0.0164	0.0044	0.2461	1.0907
4	2	1024	0.0089	0.0373	0.0096	0.2387	1.0820
4	2	2048	0.0196	0.0823	0.0209	0.2384	1.0678
4	2	4096	0.0428	0.1797	0.0457	0.2380	1.0686
4	2	8192	0.0936	0.3942	0.0989	0.2374	1.0566
4	2	16384	0.2041	0.8529	0.2152	0.2393	1.0543
4	2	32768	0.4434	1.8469	0.4625	0.2401	1.0430
4	2	131072	2.0728	8.4397	2.1560	0.2456	1.0401
8	4	32	0.0004	0.0008	0.0003	0.4596	0.9092
8	4	64	0.0010	0.0021	0.0009	0.4717	0.9264
8	4	128	0.0024	0.0052	0.0023	0.4663	0.9449
8	4	256	0.0057	0.0115	0.0054	0.4922	0.9511
8	4	512	0.0133	0.0265	0.0126	0.5009	0.9486
8	4	1024	0.0299	0.0600	0.0288	0.4988	0.9622
8	4	2048	0.0676	0.1341	0.0651	0.5039	0.9633
8	4	4096	0.1513	0.2956	0.1465	0.5118	0.9685
8	4	8192	0.3366	0.6516	0.3273	0.5166	0.9724
8	4	16384	0.7476	1.4253	0.7287	0.5245	0.9748
8	4	32768	1.6585	3.1460	1.6161	0.5272	0.9744
8	4	131072	8.0046	15.1280	7.8464	0.5291	0.9802
16	8	32	0.0015	0.0022	0.0011	0.6598	0.7461
16	8	64	0.0037	0.0055	0.0030	0.6668	0.8112
16	8	128	0.0095	0.0132	0.0081	0.7237	0.8482
16	8	256	0.0233	0.0307	0.0204	0.7610	0.8752
16	8	512	0.0554	0.0706	0.0497	0.7845	0.8965
16	8	1024	0.1290	0.1618	0.1173	0.7975	0.9095
16	8	2048	0.2964	0.3655	0.2720	0.8109	0.9177
16	8	4096	0.6748	0.8184	0.6273	0.8246	0.9295
16	8	8192	1.5236	1.8520	1.4276	0.8227	0.9370
16	8	16384	3.4036	4.1335	3.2142	0.8234	0.9443
16	8	32768	7.5827	9.2408	7.1995	0.8206	0.9495
16	8	131072	37.0016	44.5191	35.3492	0.8311	0.9553
32	16	32	0.0031	0.0073	0.0029	0.4243	0.9194
32	16	64	0.0093	0.0180	0.0088	0.5172	0.9420
32	16	128	0.0248	0.0436	0.0238	0.5688	0.9586
32	16	256	0.0631	0.1031	0.0610	0.6121	0.9668
32	16	512	0.1582	0.2439	0.1537	0.6485	0.9718
32	16	1024	0.4195	0.5712	0.4113	0.7345	0.9804
32	16	2048	1.0541	1.3298	1.0357	0.7927	0.9825
32	16	4096	2.5592	3.0324	2.5181	0.8440	0.9840
32	16	8192	6.0596	6.8900	5.9640	0.8795	0.9842
32	16	16384	14.0539	15.3914	13.8653	0.9131	0.9866
32	16	32768	32.3261	34.0981	31.9973	0.9480	0.9898
32	16	131072	164.7899	165.1559	163.2017	0.9978	0.9904
64	32	32	0.0136	0.0246	0.0106	0.5531	0.7763
64	32	64	0.0358	0.0640	0.0281	0.5589	0.7858
64	32	128	0.0927	0.1621	0.0728	0.5723	0.7854
64	32	256	0.2409	0.4011	0.1880	0.6005	0.7807
64	32	512	0.6457	0.9892	0.5426	0.6528	0.8403
64	32	1024	1.9394	2.3361	1.7207	0.8302	0.8872
64	32	2048	5.2007	5.3792	4.7496	0.9668	0.9133
64	32	4096	13.2772	12.2993	12.3722	1.0795	0.9318
64	32	8192	32.4231	27.6622	30.6978	1.1721	0.9468
64	32	16384	77.1990	61.8465	73.5910	1.2482	0.9533
64	32	32768	178.8842	136.6617	172.1338	1.3090	0.9623
128	64	32	0.0785	0.1258	0.0638	0.6238	0.8136
128	64	64	0.2008	0.3407	0.1607	0.5894	0.8001
128	64	128	0.5017	0.8959	0.3963	0.5599	0.7900
128	64	256	1.2533	2.1888	0.9763	0.5726	0.7790
128	64	512	3.3820	5.1717	2.8010	0.6539	0.8282
128	64	1024	10.3759	11.9439	9.2604	0.8687	0.8925
128	64	2048	28.4332	27.1460	26.0132	1.0474	0.9149
128	64	4096	72.5566	60.2536	67.7719	1.2042	0.9341
128	64	8192	176.9439	133.9526	167.2531	1.3209	0.9452
256	128	32	0.3675	0.5163	0.2214	0.7117	0.6025
256	128	64	0.9702	1.4353	0.6177	0.6760	0.6367
256	128	128	2.4555	3.6135	1.6285	0.6795	0.6632
256	128	256	5.9935	8.8415	4.1827	0.6779	0.6979
256	128	512	16.9742	20.6429	13.3872	0.8223	0.7887
256	128	1024	56.7041	47.5904	49.1701	1.1915	0.8671
256	128	2048	159.7312	108.0957	145.4139	1.4777	0.9104
512	256	32	2.3836	2.6266	1.2454	0.9075	0.5225
512	256	64	5.9341	6.7853	3.4803	0.8745	0.5865
512	256	128	14.2921	16.8399	8.9817	0.8487	0.6284
512	256	256	34.2694	40.1232	22.6298	0.8541	0.6603
512	256	512	101.8621	104.6344	82.5568	0.9735	0.8105
1024	512	32	18.2145	15.1637	8.2861	1.2012	0.4549
1024	512	64	42.9918	37.3582	22.3720	1.1508	0.5204
1024	512	128	100.0780	81.7386	58.8686	1.2244	0.5882
2048	1024	32	158.9739	77.1422	62.4709	2.0608	0.3930
2048	1024	64	306.2900	184.4482	157.3535	1.6606	0.5137


